geometry,address
POINT (-121.5505534475414 38.57308985),"1276, Halyard Drive, 95691, Halyard Drive, West Sacramento, CA, United States"
POINT (-121.49539625747589 38.5778422),"Jesse M. Unruh State Office Building, L Street, 95816, L Street, Sacramento, California, United States"
POINT (-121.5505534475414 38.57308985),"1276, Halyard Drive, 95691, Halyard Drive, West Sacramento, CA, United States"
POINT (-121.5505534475414 38.57308985),"1276, Halyard Drive, 95691, Halyard Drive, West Sacramento, CA, United States"
POINT EMPTY,
POINT (-121.5189576 38.5231368),"5717, Rosedale Way, 95822, Rosedale Way, Sacramento, CA, United States"
POINT (-121.411788 38.523037),"33rd Avenue, 95828, Sacramento, California, United States"
POINT (-121.61162 38.1618614),"Isleton, 95641, California, United States"
POINT (-121.409742 38.497601),"Power Inn Rd Betty Lou Drive Alley, 95828, Elk Grove, California, United States"
POINT (-121.4488794 38.5693745),"East Sacramento, 95819, Sacramento, California, United States"
POINT (-121.25130217884319 37.97703985),"1527, Broadway Avenue, 95205, Broadway Avenue, Stockton, CA, United States"
POINT (-121.3226783127563 37.89777024999999),"2449, Galley Way, 95231, Galley Way, Stockton, CA, United States"
POINT EMPTY,
POINT (-121.50831758318435 38.6108609),"Capitol Oaks Office Building, 2535, Capitol Oaks Drive, 95833, Capitol Oaks Drive, Sacramento, CA, United States"
POINT (14.9461028 37.5701079),"La Gallina Bianca, 10, Via Santa Rosa, 95032, Via Santa Rosa, Belpasso, Sicilia, Italia"
POINT (-121.4369473 38.5137738),"Stockton Blvd Self Storage, Stockton Boulevard, 95824, Stockton Boulevard, Sacramento, California, United States"
POINT (-121.46047321291898 38.51104215),"Parkway-South Sacramento, 95820, California, United States"
POINT (-121.48182796414227 38.5769049),"J Street Community Health Center, 1820, J Street, 95816, J Street, Sacramento, CA, United States"
POINT EMPTY,
POINT (-121.4163173 38.4642376),"Hospital Drive, 95823, Sacramento, California, United States"
POINT (-121.410297 38.4596105),"DaVita Dialysis, 8231, East Stockton Boulevard, 95828, East Stockton Boulevard, Sacramento, CA, United States"
POINT (-121.4315128 38.4998073),"Dollar Tree, Stockton Boulevard, 95824, Stockton Boulevard, Elk Grove, California, United States"
